entity_type,canonical_uid,existing_id,class,before_sha,after_sha
exam_papers,b4ab624a4e7460d8,10,SAFE_UPDATE,b963ad26ec9f805ea43c07f15ac969b07c157d4ec3209aad35492b3ef475694b,2209a73360703fc56ad54db40462bb127f9b1eefd763bb96301aab3af0844cda
exam_papers,35dccaaf93229ff4,11,SAFE_UPDATE,a57606b70ad66d5fcd1d2917e72e725625c307b4c474da6fe7cbdd9db3ac1fb9,47f5ab5447edf76e27ea10ae257141b8809c00bb763af1061094c6d11a990ae0
exam_papers,99e1a3bc2dd808ff,20,SAFE_UPDATE,a0aea0e6034b6afc82b6ac785e8e67d2763fbe5000358790c53ff9b9f3ef3707,6b63cfb0d0bdacb0c51301117374398a08ce36193ac181f336c355b94863a672
exam_papers,299a49bf489ab027,21,CONFLICT,f71b4e7924ed1bed4fd21fb4a2c99e968dc466928b5e5d0fdd95cf74493ee474,3481c1ceb3d3cd35f79c4a9d86f30d1ae9c829f39b9b8ccfae3e754f836d04db
exam_questions,chinese_2024_beijing_001,,INSERTED,,,
exam_questions,chinese_2024_beijing_002,,INSERTED,,,
exam_questions,chinese_2024_beijing_003,,INSERTED,,,
exam_questions,chinese_2024_beijing_004,,INSERTED,,,
exam_questions,chinese_2024_beijing_005,,INSERTED,,,
exam_questions,chinese_2024_beijing_006,,INSERTED,,,
exam_questions,chinese_2024_beijing_007,,INSERTED,,,
exam_questions,chinese_2024_beijing_008,,INSERTED,,,
exam_questions,chinese_2024_beijing_009,,INSERTED,,,
exam_questions,chinese_2024_beijing_010,,INSERTED,,,
exam_questions,chinese_2024_beijing_011,,INSERTED,,,
exam_questions,chinese_2024_beijing_012,,INSERTED,,,
exam_questions,chinese_2024_beijing_013,,INSERTED,,,
exam_questions,chinese_2024_beijing_014,,INSERTED,,,
exam_questions,chinese_2024_beijing_015,,INSERTED,,,
exam_questions,chinese_2024_beijing_016,,INSERTED,,,
exam_questions,chinese_2024_beijing_017,,INSERTED,,,
exam_questions,chinese_2024_beijing_018,,INSERTED,,,
exam_questions,chinese_2024_beijing_019,,INSERTED,,,
exam_questions,chinese_2024_beijing_020,,INSERTED,,,
exam_questions,chinese_2024_beijing_021,,INSERTED,,,
