question_id,question_uid,subject_code,stem_60chars,kp1_id,kp1_name,kp1_sim,kp2_id,kp2_name,kp2_sim,kp3_id,kp3_name,kp3_sim,review_status,review_kp_id,review_kp_name,notes
718,biology_2024_beijing_8,biology,在北京马拉松比赛42.195km的赛程中，运动员的血糖浓度维持在正常范围，在此调节过程中不会发生的是（ ）,BIO-G0-001,第1章 走近细胞,0.100,BIO-G0-004,第4章 细胞的物质输入和输出,0.100,BIO-G0-007,第1章 遗传因子的发现,0.100,,,,
724,biology_2024_beijing_14,biology,高中生物学实验中，利用显微镜观察到下列现象，其中由取材不当引起的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
725,biology_2024_beijing_15,biology,1961年到2007年间全球人类的生态足迹如图所示，下列叙述错误的是（ ）,BIO-G0-002,第2章 组成细胞的分子,0.091,BIO-G0-001,第1章 走近细胞,0.091,BIO-G0-007,第1章 遗传因子的发现,0.091,,,,
732,biology_2025_beijing_1,biology,2025年，国家持续推进“体重管理年”行动。为践行“健康饮食、科学运动”，应持有的正确认识是（ ）,BIO-G0-002,第2章 组成细胞的分子,0.167,BIO-G0-008,第2章 基因和染色体的关系,0.167,BIO-G0-015,第2章 动物和人体生命活动的调节,0.167,,,,
737,biology_2025_beijing_6,biology,用于啤酒生产酿酒酵母是真核生物，其生活史如图。下列叙述错误的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
738,biology_2025_beijing_7,biology,抗维生素D佝偻病是一种伴X染色体显性遗传病。正常女子与男患者所生子女患该病的概率是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
741,biology_2025_beijing_10,biology,外科医生给足外伤患者缝合伤口时，先在伤口附近注射局部麻醉约，以减轻患者疼痛。局部麻醉药的作用原理是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
742,biology_2025_beijing_11,biology,为了解甲基苯丙胺（MA，俗称冰毒）对心脏功能影响，研究者比较了吸食与不吸食MA人群左心室的泵血能力，结果如图。下列叙述正,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
744,biology_2025_beijing_13,biology,近年来，北京建设了许多大型湿地公园，对于生态环境的改善产生了积极作用。以下关于湿地公园生态功能的叙述错误的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2062,biology_2015_guangdong_002,biology,83（83.18） 腊梅,BIO-G0-001,第1章 走近细胞,0.143,BIO-G0-007,第1章 遗传因子的发现,0.143,BIO-G0-014,第1章 人体的内环境与稳态,0.143,,,,
