学科,年份,答案池条数,抽到题数,源文件
english,2011,57,6,2011年高考英语试卷（上海）（秋考）（解析卷）.doc
history,2016,35,7,2016年高考历史试卷（上海）（答案）.doc
history,2012,35,5,2012年高考历史试卷（上海）（答案）.doc
biology,2014,30,12,2014年高考生物试卷（上海）（解析卷）.doc
history,2015,30,5,2015年高考历史试卷（上海）（答案）.doc
history,2013,30,5,2013年高考历史试卷（上海）（答案）.doc
politics,2013,30,3,2013年高考政治试卷（上海）（答案）.doc
politics,2014,30,2,2014年高考政治试卷（上海）（答案）.doc
history,2014,29,6,2014年高考历史试卷（上海）（答案）.doc
biology,2018,26,4,2018年高考生物试卷（上海）（答案卷）.doc
history,2008,24,14,2008年高考历史试卷（浙江）（解析卷）.doc
history,2017,21,7,2017年高考历史试卷（上海）（答案）.doc
politics,2012,20,7,2012年高考政治试卷（上海）（答案）.doc
geography,2018,20,0,2018年高考地理试题（上海）（解析卷）.doc
chemistry,2009,20,0,2009年高考化学试卷（海南）（解析卷）.doc
geography,2021,16,10,2021年高考地理试卷（湖南）（解析卷）.doc
geography,2021,16,7,2021年高考地理试卷（广东）（解析卷）.doc
english,2012,15,14,2012年高考英语试卷（湖南）（解析卷）.doc
politics,2010,12,14,2010年高考政治试卷（四川）（解析卷）.doc
politics,2009,12,14,2009年高考政治试卷（浙江）（解析卷）.doc
politics,2009,12,14,2009年高考政治试卷（四川）（解析卷）.doc
politics,2008,12,14,2008年高考政治试卷（浙江）（解析卷）.doc
history,2012,12,14,2012年高考历史试卷（浙江）（解析卷）.doc
history,2011,12,13,2011年高考历史试卷（广东）（解析卷）.doc
history,2013,12,2,2013年高考历史试卷（浙江）（解析卷）.doc
politics,2011,11,14,2011年高考政治试卷（浙江）（解析卷）.doc
geography,2008,11,14,2008年高考地理试卷（天津）（解析卷）.doc
geography,2011,11,13,2011年高考地理试卷（天津）（解析卷）.doc
geography,2010,11,13,2010年高考地理试卷（浙江）（解析卷）.doc
geography,2010,11,13,2010年高考地理试卷（四川）（解析卷）.doc
geography,2009,11,12,2009年高考地理试卷（北京）（解析卷）.doc
geography,2008,11,12,2008年高考地理试卷（四川）（解析卷）.doc
history,2009,11,11,2009年高考历史试卷（天津）（解析卷）.doc
biology,2011,11,11,2011年高考生物政治（山东）（解析卷）.doc
