学科,年份,省份,类型,客观题数,客观缺口,合计缺口,听力题,源文件路径
geography,2011,shanghai,independent,51,51,98,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2011/2011年高考地理试卷（上海）（解析卷）.docx
english,2010,hunan,independent,43,43,49,11,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2010/2010年高考英语试卷（湖南）（解析卷）.docx
english,2013,chongqing,independent,43,42,42,16,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2013/2013年高考英语试卷（重庆）（解析卷）.docx
english,2012,chongqing,independent,49,41,41,10,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2012/2012年高考英语试卷（重庆）（解析卷）.docx
history,2008,shanghai,independent,39,39,54,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2008/2008年高考历史试卷（上海）（答案）.docx
english,2015,hubei,independent,60,37,37,20,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/english/2015/2015年高考英语试卷（湖北）（解析卷）.docx
english,2009,jiangsu,independent,65,35,42,20,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2009/2009年高考英语试卷（江苏）（解析卷）.docx
english,2013,hubei,independent,51,35,35,21,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2013/2013年高考英语试卷（湖北）（解析卷）.docx
politics,2009,guangdong,independent,34,34,43,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2009/2009年高考政治试卷（广东）（解析卷）.docx
english,2021,tianjin,independent,36,34,41,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/english/2021/2021年高考英语试卷（天津）（第一次）（解析卷）.docx
chinese,2011,zhejiang,independent,33,32,49,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2011/2011年高考语文试卷（浙江）（解析卷）.docx
biology,2009,shanghai,independent,32,32,36,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2009/2009年高考生物试卷（上海）（解析卷）.docx
english,2009,hunan,independent,41,32,33,16,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2009/2009年高考英语试卷（湖南）（解析卷）.docx
politics,2008,jiangsu,independent,31,31,34,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2008/2008年高考政治试卷（江苏）（解析卷）.docx
english,2013,shandong,independent,31,31,31,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2013/2013年高考英语试卷（山东）（解析卷）.docx
english,2009,zhejiang,independent,42,30,47,1,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2009/2009年高考英语试卷（浙江）（解析卷）.docx
biology,2008,guangdong,independent,30,30,38,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/biology/2008/2008年高考生物试卷（广东）（解析卷）.docx
history,2011,shanghai,independent,30,30,36,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2011/2011年高考历史试卷（上海）（答案）.docx
chemistry,2012,shanghai,independent,34,29,42,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2012/2012年高考化学试卷（上海）（解析卷）.docx
biology,2017,zhejiang,independent,30,29,30,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/biology/2017/2017年高考生物试卷（浙江）【11月】（解析卷）.docx
english,2013,hunan,independent,29,29,30,15,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2013/2013年高考英语试卷（湖南）（解析卷）.docx
biology,2011,hainan,independent,39,29,29,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2011/2011年高考生物试卷（海南）（解析卷）.docx
history,2009,shanghai,independent,30,28,37,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2009/2009年高考历史试卷（上海）（答案）.docx
chemistry,2017,shanghai,independent,29,28,34,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2017/2017年高考化学试卷（上海）（解析卷）.docx
biology,2008,shanghai,independent,30,27,42,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2008/2008年高考生物试卷（上海）（解析卷）.docx
english,2008,shaanxi,independent,36,26,35,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2008/2008年高考英语试卷（陕西）（解析卷）.docx
geography,2009,guangdong,independent,26,26,32,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2009/2009年高考地理试卷（广东）（解析卷）.docx
politics,2010,shanghai,independent,30,26,32,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2010/2010年高考政治试卷（上海）（解析卷）.docx
history,2008,guangdong,independent,25,25,31,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2008/2008年高考历史试卷（广东）（解析卷）.docx
history,2008,hainan,independent,25,25,31,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2008/2008高考历史试卷（海南）（解析卷）.docx
history,2010,shanghai,independent,26,25,25,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2010/2010年高考历史试卷（上海）（答案）.docx
geography,2010,shanghai,independent,49,24,34,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2010/2010年高考地理试卷（上海）（解析卷）.docx
history,2010,hainan,independent,24,24,34,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2010/2010高考历史试卷（海南）（解析卷）.docx
history,2011,hainan,independent,24,24,33,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2011/2011高考历史试卷（海南）（解析卷）.docx
