省份,年份,学科,数学类型,试卷类型,预期目录,预期文件名,预期路径,当前路径
"安徽","2008","生物","","independent","安徽高考","2008年安徽高考生物试卷原卷版.pdf","安徽高考/2008年安徽高考生物试卷原卷版.pdf","6. 河南高考生物2008-2025\2008年高考生物试卷（全国卷Ⅰ）（空白卷）.pdf"
"安徽","2008","化学","","independent","安徽高考","2008年安徽高考化学试卷原卷版.pdf","安徽高考/2008年安徽高考化学试卷原卷版.pdf","5. 河南高考化学2008-2025\2008年高考化学试卷（全国卷Ⅰ）（空白卷）.pdf"
"安徽","2008","地理","","independent","安徽高考","2008年安徽高考地理试卷原卷版.pdf","安徽高考/2008年安徽高考地理试卷原卷版.pdf","9. 河南高考地理2008-2025/2008年河南高考地理试卷（原卷版）.pdf"
"安徽","2008","历史","","independent","安徽高考","2008年安徽高考历史试卷原卷版.pdf","安徽高考/2008年安徽高考历史试卷原卷版.pdf","7. 河南高考历史2008-2025\2008年高考历史试卷（全国卷Ⅰ）（空白卷）.pdf"
"安徽","2008","文科数学","arts","independent","安徽高考","2008年安徽高考文科数学试卷原卷版.pdf","安徽高考/2008年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2008年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2008","理科数学","science","independent","安徽高考","2008年安徽高考理科数学试卷原卷版.pdf","安徽高考/2008年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2008","物理","","independent","安徽高考","2008年安徽高考物理试卷原卷版.pdf","安徽高考/2008年安徽高考物理试卷原卷版.pdf","4. 河南高考物理2008-2025\2008年高考物理试卷（全国卷Ⅰ）（空白卷）.pdf"
"安徽","2008","政治","","independent","安徽高考","2008年安徽高考政治试卷原卷版.pdf","安徽高考/2008年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2008年高考生物试卷（北京）（空白卷）.doc"
"安徽","2009","生物","","independent","安徽高考","2009年安徽高考生物试卷原卷版.pdf","安徽高考/2009年安徽高考生物试卷原卷版.pdf","6. 河南高考生物2008-2025\2009年高考生物试卷（全国卷Ⅰ）（空白卷）.pdf"
"安徽","2009","化学","","independent","安徽高考","2009年安徽高考化学试卷原卷版.pdf","安徽高考/2009年安徽高考化学试卷原卷版.pdf","5. 河南高考化学2008-2025\2009年高考化学试卷（全国卷Ⅰ）（空白卷）.pdf"
"安徽","2009","地理","","independent","安徽高考","2009年安徽高考地理试卷原卷版.pdf","安徽高考/2009年安徽高考地理试卷原卷版.pdf","9. 河南高考地理2008-2025/2009年河南高考地理试卷（原卷版）.pdf"
"安徽","2009","历史","","independent","安徽高考","2009年安徽高考历史试卷原卷版.pdf","安徽高考/2009年安徽高考历史试卷原卷版.pdf","7. 河南高考历史2008-2025\2009年高考历史试卷（全国卷Ⅰ）（空白卷）.pdf"
"安徽","2009","文科数学","arts","independent","安徽高考","2009年安徽高考文科数学试卷原卷版.pdf","安徽高考/2009年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2009年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2009","理科数学","science","independent","安徽高考","2009年安徽高考理科数学试卷原卷版.pdf","安徽高考/2009年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2009","物理","","independent","安徽高考","2009年安徽高考物理试卷原卷版.pdf","安徽高考/2009年安徽高考物理试卷原卷版.pdf","4. 河南高考物理2008-2025\2009年高考物理试卷（全国卷Ⅰ）（空白卷）.pdf"
